Plot,Month,Year,Amaranthus.albus,Ambrosia.psilostachya,Artemisia.ludoviciana,Asclepias.syriaca,Berteroa.incana,Bromus.inermis,Cirsium.arvense,Cirsium.vulgare,Convolvulus.arvensis,Conyza.canadensis,Echinacea.angustifolia,Equisetum.sp.,Fragaria.virginiana,Galium.boreale,Glycyrrhiza.lepidota,Helianthus.maximiliani,Helianthus.pauciflorus,Liatris.punctata,Medicago.lupulina,Melilotus.sp.,Oxalis.stricta,Panicum.capillare,Plantago.major,Poa.pratensis,Rosa.arkansana,Salix.interior,Salsola.tragus,Sisymbrium.altissimum,Solanum.ptychanthum,Symphyotrichum.ericoides,Taraxacum.officinale,Ulmus.pumila,Verbascum.thapsus,Verbena.bracteata,Achillea.millefolium,Chenopodium.album.,Cirsium.discolor,Digitaria.sanguinalis,Elymus.repens,Euphorbia.geyeri,Matricaria.discoidea,Mirabilis.albida,Unknown_1,Unknown_2,Nepeta.cataria,Poa.annua,Polygonum.aviculare,Setaria.pumila,Solidago.gigantea,Triflorum.repens,Verbena.hastata,Amorpha.canescens,Anemone.cylindrica,Artemisia.frigida,Cerastium.arvense,Chenopodium.album,Drymocallis.arguta,Geum.triflorum,Solidago.canadensis,Solidago.nemoralis,Solidago.rigida,Sonchus.arvensis,Trifolium.repens,unknown.1,unknown.2,Urtica.diocia,Verbena.urticifolia
A,6.20,2020,9,0,6,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,42,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,6.21,2021,0,2,11,0,0,80,0,0,1,8,0,2,0,0,0,0,0,0,31,11,0,5,0,32,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,0,3,8,0,0,0,0,0,0,0,2
A,7,2020,0,1,11,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,18,35,312,0,4,0,0,0,0,0,0,0,0,2,2,0,3,1,0,2,1,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,8.20,2020,0,1,6,0,0,10,0,0,1,2,0,0,1,1,0,2,0,0,1,16,25,216,0,6,0,0,0,0,0,1,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,8.21,2021,0,0,9,0,0,65,0,0,0,6,0,5,0,0,0,0,0,1,0,14,0,4,0,38,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,11,0,0,0,0
A,9,2020,0,0,3,0,0,58,0,0,0,0,0,3,0,0,0,3,0,0,0,28,75,25,0,13,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,6.20,2020,0,9,0,2,0,22,3,0,0,3,0,1,0,0,3,0,0,0,0,167,81,16,0,0,0,0,0,0,0,0,3,1,111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,6.21,2021,0,0,0,1,0,33,0,6,0,24,0,0,0,1,0,0,0,0,28,56,0,7,0,34,0,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0
B,7,2020,0,6,0,1,2,4,0,3,2,5,0,0,0,0,2,0,0,0,0,136,33,50,0,13,0,0,0,2,0,0,0,0,55,1,0,4,0,0,12,1,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,8.20,2020,0,2,0,0,0,16,16,0,0,1,0,0,0,0,0,0,0,0,0,78,54,72,0,6,0,0,0,0,0,0,0,3,63,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,8.21,2021,0,0,0,1,0,37,0,2,0,13,0,0,0,0,1,0,0,0,0,25,0,3,0,23,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,4,0,1,1,20,0,0,0,0
B,9,2020,0,3,0,0,3,34,0,4,0,1,0,0,0,0,2,2,0,0,0,124,82,12,0,13,0,0,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,6.20,2020,1,152,0,0,0,21,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,25,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,6.21,2021,0,4,0,0,0,18,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,13,0,21,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
C,7,2020,0,192,0,0,0,5,0,0,4,0,0,0,0,6,0,0,0,1,0,6,0,43,0,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,8.20,2020,1,98,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,0,11,0,76,0,30,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,8.21,2021,1,9,2,1,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,15,0,21,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
C,9,2020,0,96,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,20,0,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6.20,2020,0,116,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,6.21,2021,0,43,0,0,0,96,0,5,0,120,0,0,0,0,0,0,0,0,7,2,0,9,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,7,2020,2,127,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,9,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8.20,2020,1,100,0,0,4,0,7,0,0,3,0,0,0,0,0,0,0,0,31,33,4,70,0,17,0,0,2,0,0,0,1,0,0,0,0,0,0,17,17,1,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,8.21,2021,0,29,0,0,0,19,0,0,0,103,0,0,0,0,0,0,0,0,0,1,0,24,0,36,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0
D,9,2020,0,114,0,0,0,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,6.20,2020,3,0,0,0,0,16,2,2,0,0,0,0,0,0,0,1,0,0,0,0,262,28,0,33,0,0,11,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,6.21,2021,0,0,0,0,0,65,22,11,0,0,1,0,0,0,0,0,0,1,5,47,0,4,0,71,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0
E,7,2020,6,0,0,0,0,12,8,12,0,1,0,0,0,0,0,0,0,0,80,100,14,70,0,19,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,8.20,2020,6,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,22,24,4,146,0,89,0,0,1,0,0,0,3,0,0,0,0,17,0,0,0,2,0,0,9,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,8.21,2021,0,0,0,0,0,49,8,7,0,0,0,0,0,0,0,0,0,0,0,20,0,3,1,44,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
E,9,2020,0,0,0,0,4,41,7,10,0,17,0,0,0,0,0,1,0,0,0,69,5,0,0,180,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
